job_description,label
Python developer required. Knowledge of Python and SQL. Apply through company website.,0
Software developer required. Interview process will be conducted online.,0
Data analyst required with Excel and Python skills. Freshers can apply.,0
Web developer required. Send your resume through official company email.,0
Backend developer required. Knowledge of Python and Django preferred.,0
Work from home job. Pay registration fee of 500 rupees to get selected.,1
Guaranteed job. Send money on WhatsApp and get immediate joining.,1
Earn 50000 per month. No interview required. Pay processing fee.,1
Telegram job offer. Send registration fee and personal bank details.,1
Congratulations! You are selected. Pay money to confirm your job.,1
"Urgent hiring for Python developer. Apply through official company portal.",0
"Software engineer needed. Technical interview and HR interview will be conducted.",0
"Junior Python developer required. Good programming skills preferred.",0
"Data analyst required with SQL and Excel knowledge. Apply on company website.",0
"Frontend developer needed with HTML CSS and JavaScript skills.",0
"Backend developer required with Python and Django experience.",0
"Machine learning intern required. Candidates will attend an online interview.",0
"Graduate software trainee position. Selection will be based on technical assessment.",0
"Python internship available for students. Apply through official email.",0
"Software testing engineer required. Knowledge of testing tools is preferred.",0
"Work from home job. Pay Rs.1000 registration fee to receive joining letter.",1
"Congratulations! You are selected without interview. Send money to activate your account.",1
"Earn Rs.1 lakh per month. Pay processing charges before joining.",1
"Contact us on WhatsApp and send your bank details for immediate job selection.",1
"No interview required. Pay a security deposit and get guaranteed employment.",1
"Limited vacancies! Send registration money through UPI to confirm your job.",1
"Earn money by liking videos. Pay an initial membership fee to start working.",1
"Government job guaranteed. Pay Rs.2000 for document verification.",1
"Selected candidate must pay training fee before receiving offer letter.",1
"Work from home and earn daily income. Send OTP and bank details to continue.",1
